,count,mean,std,min,25%,50%,75%,max,median,skewness,NaNs
Titles,38961.0,14.030825697492364,5.242076200673533,1.0,10.0,14.0,17.0,74.0,14.0,0.5631280185905824,0
Abstracts,38961.0,221.99699699699698,88.72035014581581,3.0,172.0,223.0,259.0,1826.0,223.0,2.681341326604056,0
