edge_id,source,target,x,y,z,weight,source_position,target_position
2934.0,3,222,"[0.32710835 0.34829095 0.36597979 0.37680039 0.37862369 0.3719499
 0.35899613 0.34204136 0.32284805 0.30268843 0.28226602 0.2604183 ]","[0.09232964 0.07370856 0.05910119 0.05010612 0.04654395 0.04693701
 0.04914531 0.05088943 0.05030096 0.04676863 0.04142716 0.0255446 ]","[-0.14538083599954943, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.14341782066105283]",0.799534797668457,"{'x': 0.32710835337638855, 'y': 0.09232964366674423, 'z': -0.14538083599954943}","{'x': 0.2604182958602905, 'y': 0.025544600561261177, 'z': -0.14341782066105283}"
4359.0,4,5,[-0.00517049 -0.03073841],[-0.52416229 -0.52129471],"[-0.14182552012417127, -0.1433996689668787]",0.818326234817505,"{'x': -0.005170490127056837, 'y': -0.5241622924804688, 'z': -0.14182552012417127}","{'x': -0.030738407745957375, 'y': -0.5212947130203247, 'z': -0.1433996689668787}"
